Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV8659	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV9611	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV2137	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV8055	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV9224	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV3241	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	phototrophica
ASV5917	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	unclassified
ASV8552	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	unclassified
ASV4291	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	unclassified
ASV7562	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	unclassified
ASV6994	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	unclassified	unclassified
ASV9040	Bacteria	Gemmatimonadota	BD2-11 terrestrial group	unclassified	unclassified	unclassified	unclassified
ASV5862	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Longimicrobium	unclassified
ASV9295	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Longimicrobium	unclassified
ASV8011	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	unclassified	unclassified
ASV5856	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	unclassified	unclassified
ASV6634	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	unclassified	unclassified
ASV8201	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	unclassified	unclassified
ASV3758	Bacteria	Entotheonellaeota	Entotheonellia	Entotheonellales	Entotheonellaceae	unclassified	unclassified
ASV6737	Bacteria	Entotheonellaeota	Entotheonellia	Entotheonellales	Entotheonellaceae	unclassified	unclassified
ASV8061	Bacteria	Entotheonellaeota	Entotheonellia	Entotheonellales	Entotheonellaceae	unclassified	unclassified
ASV6028	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	unclassified	unclassified
ASV8354	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	unclassified	unclassified
ASV2066	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	possible genus 05	unclassified
